NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
IP1	     -9.9032	    -37.6242	     14.0791	     -1.5975	     14.0791	      1.5975	     -9.9032	     37.6242	    101.7327	     32.0728	     17.8602	     -3.4342	     35.5666	     25.3531	  -4689.8461	   -487.5661	  -4689.8461	    487.5661	   -593.4298	  -1998.6062	    200.3489	   1000.7028	  -3109.7640	   5642.4201	  13538.1285	-102044.0318	  -3109.7640	  -5642.4201	   1764.6479	   3527.9034	  13538.1285	 102044.0318	    200.3489	  -1000.7028	  14402.6458	   4465.5084	   3065.6957	  -3355.6260	   1764.6479	  -3527.9034	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	
BPMSW.1R1.B1_DOROS	    -37.7583	      9.3789	      1.7932	     14.0555	      1.7932	    -14.0555	    -37.7583	     -9.3789	     27.8005	   -102.9822	      3.6823	     17.8107	     23.8471	    -36.5934	   4666.9830	    617.6348	   4666.9830	   -617.6348	   -705.5347	  -1962.4045	   -179.9177	  -1006.0972	   3258.0410	  -5553.9349	  13534.3847	-102044.0318	   3258.0410	   5553.9349	  -1673.3076	  -3575.8366	  13534.3847	 102044.0318	   -179.9177	   1006.0972	  14624.9696	   3657.7875	   2872.4552	  -3520.8299	  -1673.3076	   3575.8366	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMWF.A1R1.B1	    -37.7575	      9.3821	      1.7920	     14.0556	      1.7920	    -14.0556	    -37.7575	     -9.3821	     27.8268	   -102.9751	      3.6808	     17.8110	     23.8565	    -36.5873	   4667.0421	    616.8377	   4667.0421	   -616.8377	   -704.8769	  -1962.6444	   -180.1354	  -1006.0678	   3257.0477	  -5554.4917	  13534.3617	-102044.0318	   3257.0477	   5554.4917	  -1673.9635	  -3575.5525	  13534.3617	 102044.0318	   -180.1354	   1006.0678	  14623.6982	   3662.7764	   2873.6443	  -3519.8494	  -1673.9635	   3575.5525	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMS.2R1.B1	    -37.7103	      9.5701	      1.7536	     14.0605	      1.7536	    -14.0605	    -37.7103	     -9.5701	     29.1320	   -102.6135	      3.5920	     17.8291	     24.4007	    -36.2266	   4613.2790	    580.4054	   4613.2790	   -580.4054	   -689.1093	  -1973.0786	   -192.1911	  -1004.2022	   3212.0614	  -5579.4775	  13303.6352	-102074.2117	   3212.0614	   5579.4775	  -1710.2367	  -3558.7103	  13303.6352	 102074.2117	   -192.1911	   1004.2022	  14555.6441	   3920.7198	   2943.0354	  -3461.8767	  -1710.2367	   3558.7103	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMSY.4R1.B1	    -37.6341	      9.8658	      1.7155	     14.0652	      1.7155	    -14.0652	    -37.6341	     -9.8658	     31.0154	   -102.0600	      3.4520	     17.8568	     25.2469	    -35.6421	   4565.9583	    532.1734	   4565.9583	   -532.1734	   -660.6024	  -1987.4311	   -242.5321	  -1001.1877	   3118.3928	  -5612.5571	  12761.1698	-102141.6045	   3118.3928	   5612.5571	  -1811.4197	  -3531.6359	  12761.1698	 102141.6045	   -242.5321	   1001.1877	  14430.4093	   4301.2632	   3038.8754	  -3367.6798	  -1811.4197	   3531.6359	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMWB.4R1.B1	    -37.2409	     11.2618	      1.3466	     14.1052	      1.3466	    -14.1052	    -37.2409	    -11.2618	     41.1209	    -98.4239	      2.7889	     17.9733	     29.0690	    -32.6011	   4590.6076	    241.5766	   4590.6076	   -241.5766	   -403.7365	  -2055.0300	   -316.3116	   -980.4198	   2755.2140	  -5798.7341	  11623.9197	-102277.3089	   2755.2140	   5798.7341	  -2070.6085	  -3386.0830	  11623.9197	 102277.3089	   -316.3116	    980.4198	  13701.0644	   6245.5429	   3504.9019	  -2879.2468	  -2070.6085	   3386.0830	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	
BPMYA.4R1.B1	    -36.7922	     12.6490	      1.6243	     14.0760	      1.6243	    -14.0760	    -36.7922	    -12.6490	     46.4947	    -96.0023	      2.1119	     18.0650	     32.5421	    -29.1346	   4594.0815	    159.9070	   4594.0815	   -159.9070	   -330.4217	  -2068.1127	   -389.0078	   -953.8847	   2651.9364	  -5846.8623	   5762.8479	-102774.2627	   2651.9364	   5846.8623	  -2318.1039	  -3221.8348	   5762.8479	 102774.2627	   -389.0078	    953.8847	  13063.9099	   7487.3621	   3895.7050	  -2323.4208	  -2318.1039	   3221.8348	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	
BPM.5R1.B1	    -34.7021	     17.5905	      2.9718	     13.8543	      2.9718	    -13.8543	    -34.7021	    -17.5905	     62.8980	    -86.1513	     -0.3936	     18.1838	     41.5137	    -13.5804	   4596.6146	    -31.2879	   4596.6146	     31.2879	   -157.4329	  -2088.4269	   -634.2853	   -811.7333	   2406.4282	  -5952.0954	 -18268.1055	-101301.7013	   2406.4282	   5952.0954	  -3108.4420	  -2468.0850	 -18268.1055	 101301.7013	   -634.2853	    811.7333	  10071.9263	  11192.9477	   4535.4809	     64.8305	  -3108.4420	   2468.0850	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	
BPMSA.A6R1.B1	    -18.9912	     33.9558	      9.6416	     10.3832	      9.6416	    -10.3832	    -18.9912	    -33.9558	    102.0965	    -30.8952	    -10.4690	     14.8729	      4.8760	     43.4055	   4588.0418	   -282.1754	   4588.0418	    282.1754	     71.1843	  -2093.1435	   -991.2016	    280.6315	   2077.8914	  -6074.5869	 -99379.9053	 -26821.4957	   2077.8914	   6074.5869	  -3459.5096	   1945.6906	 -99379.9053	  26821.4957	   -991.2016	   -280.6315	  -7288.5759	  13175.8199	  -3286.1933	   3126.6112	  -3459.5096	  -1945.6906	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	
BPMR.6R1.B1	     37.0265	     11.9457	      9.0773	    -10.8800	      9.0773	     10.8800	     37.0265	    -11.9457	      2.6900	    106.6347	    -12.5248	    -13.1885	     38.7076	     20.2369	   4556.6017	   -605.8486	   4556.6017	    605.8486	    365.7075	  -2062.1781	    806.4119	   -641.0453	   1643.1975	  -6206.2922	 102741.9563	  -6312.5665	   1643.1975	   6206.2922	   2442.1001	  -3128.9160	 102741.9563	   6312.5665	    806.4119	    641.0453	  12435.7100	  -8489.9068	  -4533.7674	   -140.3455	   2442.1001	   3128.9160	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	
BPMSX.7R1.B1	     38.6671	      4.3030	      7.3086	    -12.1391	      7.3086	     12.1391	     38.6671	     -4.3030	    -23.6858	    104.0057	     -9.6356	    -15.4260	     20.3748	     38.6352	   4522.3766	   -823.2476	   4522.3766	    823.2476	    561.2108	  -2017.7624	    490.8423	   -905.7125	   1344.2539	  -6277.8264	  94156.8660	 -41596.1847	   1344.2539	   6277.8264	   1021.2319	  -3835.5020	  94156.8660	  41596.1847	    490.8423	    905.7125	  14891.3907	  -2229.7529	  -3041.1644	  -3365.4203	   1021.2319	   3835.5020	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	
BPM_A.7R1.B1	     38.7681	     -3.2710	      9.9926	    -10.0459	      9.9926	     10.0459	     38.7681	      3.2710	    -80.4690	     70.0210	     -6.4640	    -17.0007	     -4.3476	     43.4616	   3752.1558	  -2655.3344	   3752.1558	   2655.3344	   1905.5054	   -869.1253	    109.6243	  -1024.3199	  -1431.4800	  -6258.5025	  95962.4579	 -37241.9710	  -1431.4800	   6258.5025	   -513.6885	  -3935.7580	  95962.4579	  37241.9710	    109.6243	   1024.3199	  11734.9952	   9434.7712	    204.8188	  -4531.3080	   -513.6885	   3935.7580	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	
BPM.8R1.B1	     34.5832	    -17.8208	     -3.4624	     13.7406	     -3.4624	    -13.7406	     34.5832	     17.8208	     95.1641	    -48.1858	      0.5125	    -18.1818	    -41.7768	     12.7477	  -4094.8179	   2088.2351	  -4094.8179	  -2088.2351	   1579.5288	  -1375.3910	   -645.4144	   -803.3354	    517.4371	   6398.9046	 -27759.7092	  99121.9053	    517.4371	  -6398.9046	  -3141.4943	  -2426.0591	 -27759.7092	 -99121.9053	   -645.4144	    803.3354	  -3792.6693	 -14571.4772	   4532.1768	    185.2140	  -3141.4943	   2426.0591	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	
BPM.9R1.B1	    -16.6241	    -35.1742	     -5.2411	     13.1649	     -5.2411	    -13.1649	    -16.6241	     35.1742	    -98.0267	     42.0571	     18.1884	     -0.1115	     16.9731	     40.2458	   2477.8530	   3871.5360	   2477.8530	  -3871.5360	  -1816.5653	   1042.4362	    588.7587	    845.5323	   6317.8061	  -1139.2362	  93156.4276	  43790.7950	   6317.8061	   1139.2362	   2967.6447	   2635.7597	  93156.4276	 -43790.7950	    588.7587	   -845.5323	 -14675.6903	   3366.8716	   4514.8534	   -436.6363	   2967.6447	  -2635.7597	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	
