NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
IP1	     -6.1575	    -29.4404	      9.7246	     -2.0176	      9.7246	      2.0176	     -6.1575	     29.4404	     86.6269	     17.8310	     15.6826	      0.0829	     29.6622	     25.4340	  -5094.2823	   -302.8937	  -5094.2823	    302.8937	   -600.9921	  -2886.8927	     22.5095	   1529.4862	  -3025.7651	   4799.0853	  -4285.6756	 -78635.2263	  -3025.7651	  -4799.0853	   1848.8690	   3178.8381	  -4285.6756	  78635.2263	     22.5095	  -1529.4862	   8759.4921	   2051.3012	   2231.8947	  -2421.9052	   1848.8690	  -3178.8381	     -8.4439	      9.3955	     -8.4439	     -9.3955	    -23.9241	     22.0594	    -11.3820	     -0.3634	      7.2151	    -18.9301	      7.2151	     18.9301	    -11.3820	      0.3634	    -19.9229	     45.4295	  -1310.4850	   -219.3980	-128062.9089	  -9289.3064	   -914.5740	      1.8747	   1113.6464	    534.4964	   1113.6464	   -534.4964	-128062.9089	   9289.3064	  -1310.4850	    219.3980	  -4268.2872	   2799.1415	   2024.3393	    214.4556	 174263.0107	  56087.7225	 174263.0107	 -56087.7225	   2024.3393	   -214.4556	
BPMSW.1R1.B1_DOROS	    -29.5111	      5.8060	      2.0665	      9.7141	      2.0665	     -9.7141	    -29.5111	     -5.8060	     15.3340	    -87.1022	      0.1038	     15.6828	     24.3627	    -30.5481	   5082.0577	    388.6052	   5082.0577	   -388.6052	   -699.3752	  -2864.9374	      6.9747	  -1528.7289	   3099.6566	  -4747.9424	  -3750.7764	 -78662.2566	   3099.6566	   4747.9424	  -1779.8085	  -3221.4719	  -3750.7764	  78662.2566	      6.9747	   1528.7289	   8833.8118	   1693.2249	   2112.9304	  -2525.2806	  -1779.8085	   3221.4719	      9.3284	      8.5231	      9.3284	     -8.5231	     22.6596	     23.3577	     -0.5359	     11.3751	    -18.8652	     -7.3748	    -18.8652	      7.3748	     -0.5359	    -11.3751	     46.0479	     18.4517	   1304.1001	    252.3404	-128030.9531	  -9724.8236	    914.1112	     23.1250	  -1120.9381	   -519.8175	  -1120.9381	    519.8175	-128030.9531	   9724.8236	   1304.1001	   -252.3404	  -4162.4232	   2953.0402	  -2020.0906	   -249.2176	 174069.9275	  56680.8762	 174069.9275	 -56680.8762	  -2020.0906	    249.2176	
BPMWF.A1R1.B1	    -29.5106	      5.8085	      2.0657	      9.7142	      2.0657	     -9.7142	    -29.5106	     -5.8085	     15.3563	    -87.0983	      0.1024	     15.6829	     24.3706	    -30.5418	   5082.0845	    387.7372	   5082.0845	   -387.7372	   -698.4060	  -2865.1756	      6.6708	  -1528.7247	   3098.8058	  -4748.4746	  -3750.8607	 -78662.2507	   3098.8058	   4748.4746	  -1780.4028	  -3221.1649	  -3750.8607	  78662.2507	      6.6708	   1528.7247	   8833.2219	   1696.2395	   2113.7858	  -2524.5580	  -1780.4028	   3221.1649	      9.3292	      8.5223	      9.3292	     -8.5223	     22.6536	     23.3635	     -0.5350	     11.3751	    -18.8658	     -7.3732	    -18.8658	      7.3732	     -0.5350	    -11.3751	     46.0432	     18.4635	   1304.1329	    252.1569	-128030.9606	  -9724.7555	    914.1140	     22.9691	  -1120.8509	   -520.0103	  -1120.8509	    520.0103	-128030.9606	   9724.7555	   1304.1329	   -252.1569	  -4163.4382	   2951.6014	  -2020.1364	   -248.8335	 174069.9496	  56680.7884	 174069.9496	 -56680.7884	  -2020.1364	    248.8335	
BPMS.2R1.B1	    -29.4724	      5.9425	      2.0437	      9.7131	      2.0437	     -9.7131	    -29.4724	     -5.9425	     16.4671	    -86.8890	      0.0244	     15.6837	     24.8263	    -30.1723	   5036.2548	    350.9873	   5036.2548	   -350.9873	   -665.0060	  -2876.8740	     -7.3441	  -1515.0094	   3050.2500	  -4773.5353	  -3931.1736	 -78648.6032	   3050.2500	   4773.5353	  -1813.2141	  -3202.7744	  -3931.1736	  78648.6032	     -7.3441	   1515.0094	   8802.6780	   1843.8086	   2163.8670	  -2481.7508	  -1813.2141	   3202.7744	      9.3956	      8.4864	      9.3956	     -8.4864	     22.3930	     23.6238	     -0.4653	     11.3764	    -18.8894	     -7.3004	    -18.8894	      7.3004	     -0.4653	    -11.3764	     45.7823	     19.1020	   1275.5787	    277.0899	-128067.1665	  -9546.6809	    915.2796	     13.5059	  -1123.5702	   -519.5949	  -1123.5702	    519.5949	-128067.1665	   9546.6809	   1275.5787	   -277.0899	  -4223.5175	   2868.9607	  -2025.0524	   -227.7712	 174132.9187	  56482.8197	 174132.9187	 -56482.8197	  -2025.0524	    227.7712	
BPMSY.4R1.B1	    -29.4206	      6.1619	      2.0197	      9.7150	      2.0197	     -9.7150	    -29.4206	     -6.1619	     18.0681	    -86.5616	     -0.0966	     15.6851	     25.5337	    -29.5753	   4994.6752	    298.9111	   4994.6752	   -298.9111	   -613.4428	  -2891.1972	    -63.4095	  -1505.5739	   2966.0200	  -4809.2058	  -4355.5919	 -78622.7611	   2966.0200	   4809.2058	  -1904.7892	  -3171.4821	  -4355.5919	  78622.7611	    -63.4095	   1505.5739	   8744.2438	   2068.8371	   2231.4862	  -2413.6598	  -1904.7892	   3171.4821	      9.4718	      8.4369	      9.4718	     -8.4369	     22.0265	     23.9750	     -0.3396	     11.3799	    -18.9111	     -7.2014	    -18.9111	      7.2014	     -0.3396	    -11.3799	     45.3753	     20.0628	   1262.7222	    302.0252	-128102.4130	  -9191.2546	    916.4111	     -4.2989	  -1122.4702	   -527.6596	  -1122.4702	    527.6596	-128102.4130	   9191.2546	   1262.7222	   -302.0252	  -4298.5851	   2750.2244	  -2025.7702	   -165.0939	 174282.7668	  56010.7517	 174282.7668	 -56010.7517	  -2025.7702	    165.0939	
BPMWB.4R1.B1	    -29.1693	      7.2591	      1.7663	      9.7638	      1.7663	     -9.7638	    -29.1693	     -7.2591	     26.6923	    -84.3026	     -0.6793	     15.6707	     28.6901	    -26.5259	   5003.6075	    -18.2232	   5003.6075	     18.2232	   -242.7576	  -2945.5281	   -176.0308	  -1496.5993	   2654.2767	  -4987.5468	  -5258.7746	 -78567.5940	   2654.2767	   4987.5468	  -2137.7398	  -3019.3456	  -5258.7746	  78567.5940	   -176.0308	   1496.5993	   8375.0503	   3254.8743	   2566.1718	  -2054.0155	  -2137.7398	   3019.3456	      9.7347	      8.1324	      9.7347	     -8.1324	     19.6498	     25.9587	      0.1514	     11.3850	    -19.1315	     -6.6000	    -19.1315	      6.6000	      0.1514	    -11.3850	     42.9821	     24.7778	   1280.6684	    213.7500	-128152.9264	  -8455.2752	    913.0821	    -78.4394	  -1090.0008	   -591.6758	  -1090.0008	    591.6758	-128152.9264	   8455.2752	   1280.6684	   -213.7500	  -4624.2971	   2157.7614	  -2031.5144	    -24.1360	 174601.7470	  55008.5196	 174601.7470	 -55008.5196	  -2031.5144	     24.1360	
BPMYA.4R1.B1	    -28.8751	      8.3514	      1.9602	      9.7269	      1.9602	     -9.7269	    -28.8751	     -8.3514	     31.3204	    -82.6948	     -1.2700	     15.6340	     31.4952	    -23.1250	   5002.4173	   -107.1545	   5002.4173	    107.1545	   -137.9433	  -2952.3146	   -288.1537	  -1479.0732	   2565.5068	  -5033.8947	  -9764.0454	 -78135.6475	   2565.5068	   5033.8947	  -2358.5411	  -2850.3070	  -9764.0454	  78135.6475	   -288.1537	   1479.0732	   8036.5317	   4018.7955	   2845.3180	  -1645.8080	  -2358.5411	   2850.3070	      9.8064	      8.0455	      9.8064	     -8.0455	     18.9507	     26.4734	      0.9064	     11.3494	    -19.1887	     -6.4291	    -19.1887	      6.4291	      0.9064	    -11.3494	     40.7476	     28.3028	   1289.2486	    154.1323	-128343.0308	  -4768.8103	    900.0336	   -172.6985	  -1096.4759	   -579.6188	  -1096.4759	    579.6188	-128343.0308	   4768.8103	   1289.2486	   -154.1323	  -4753.3686	   1856.1765	  -2030.6798	     70.2707	 176110.5140	  49967.9341	 176110.5140	 -49967.9341	  -2030.6798	    -70.2707	
BPM.5R1.B1	    -27.4452	     12.2588	      2.8927	      9.4915	      2.8927	     -9.4915	    -27.4452	    -12.2588	     45.6269	    -75.7468	     -3.4167	     15.3088	     38.1507	     -8.4404	   4993.5211	   -314.9239	   4993.5211	    314.9239	    107.6640	  -2953.5804	   -681.7562	  -1343.8034	   2354.0522	  -5136.1509	 -27726.0967	 -73700.5962	   2354.0522	   5136.1509	  -3048.2669	  -2096.4370	 -27726.0967	  73700.5962	   -681.7562	   1343.8034	   6373.0196	   6334.1121	   3285.5700	     97.7234	  -3048.2669	   2096.4370	      9.9716	      7.8400	      9.9716	     -7.8400	     17.2643	     27.6028	      3.7538	     10.7489	    -19.3182	     -6.0289	    -19.3182	      6.0289	      3.7538	    -10.7489	     30.6475	     39.0147	   1297.3459	    -52.2511	-128014.5646	  10341.9743	    764.3647	   -505.5985	  -1137.4218	   -494.4687	  -1137.4218	    494.4687	-128014.5646	 -10341.9743	   1297.3459	     52.2511	  -5028.1627	    870.3304	  -1993.8229	    391.5630	 180761.1997	  28932.5388	 180761.1997	 -28932.5388	  -1993.8229	   -391.5630	
BPMSA.A6R1.B1	    -15.9333	     25.4882	      7.3441	      6.6723	      7.3441	     -6.6723	    -15.9333	    -25.4882	     82.0518	    -32.9682	    -11.3783	     10.7967	      0.4860	     39.0702	   4968.9089	   -586.7561	   4968.9089	    586.7561	    428.6673	  -2924.2908	  -1501.6913	    124.5788	   2070.4573	  -5256.8766	 -78482.1427	  -6408.3954	   2070.4573	   5256.8766	  -3091.3113	   2032.4442	 -78482.1427	   6408.3954	  -1501.6913	   -124.5788	  -3909.5888	   8090.2045	  -2419.0550	   2225.4616	  -3091.3113	  -2032.4442	     10.1817	      7.5651	     10.1817	     -7.5651	     14.9501	     28.9217	     11.3509	      0.8875	    -19.4754	     -5.4998	    -19.4754	      5.4998	     11.3509	     -0.8875	    -25.7405	     42.4128	   1026.0800	   -795.6149	-102601.6480	  77250.1568	   -632.9594	   -662.7565	  -1234.0435	    123.9551	  -1234.0435	   -123.9551	-102601.6480	 -77250.1568	   1026.0800	    795.6149	  -4472.1718	  -2457.5502	  -1396.2257	   1476.2084	 168177.8178	 -72304.3878	 168177.8178	  72304.3878	  -1396.2257	  -1476.2084	
BPMR.6R1.B1	     28.0819	     10.7204	      5.7180	     -8.1093	      5.7180	      8.1093	     28.0819	    -10.7204	     10.3564	     87.8188	     -8.4005	    -13.2463	     32.9044	     21.0716	   4915.0772	   -936.0960	   4915.0772	    936.0960	    836.2733	  -2834.7631	   1342.9165	   -683.4986	   1694.1447	  -5389.9321	  76562.7694	 -18402.6231	   1694.1447	   5389.9321	   2092.5156	  -3050.9764	  76562.7694	  18402.6231	   1342.9165	    683.4986	   7087.5230	  -5522.9757	  -3285.3054	   -106.1336	   2092.5156	   3050.9764	     10.4426	      7.2007	     10.4426	     -7.2007	     11.8065	     30.3410	    -10.9588	      3.0880	    -19.6575	     -4.8084	    -19.6575	      4.8084	    -10.9588	     -3.0880	     40.8919	    -28.0940	  -1008.0426	   -818.3518	  92492.1751	  89106.0163	    237.1012	   -885.2499	    231.9553	   1218.3700	    231.9553	  -1218.3700	  92492.1751	 -89106.0163	  -1008.0426	    818.3518	   3669.3958	  -3546.1794	   1754.9683	   1024.0665	 -97970.5156	-154639.8422	 -97970.5156	 154639.8422	   1754.9683	  -1024.0665	
