NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
IP1	    -13.8656	    -28.2724	    -12.3656	     11.8956	    -12.3656	    -11.8956	    -13.8656	     28.2724	    -32.5995	      1.0638	    -25.4110	    -23.5110	    -16.0779	     30.6803	   1900.2297	   -139.3060	   1900.2297	    139.3060	    588.4295	  -1098.9433	   6469.5574	   3508.1934	  -6217.7758	   2904.4745	  13805.7716	  17273.1175	  -6217.7758	  -2904.4745	  -5476.0231	  -1367.0012	  13805.7716	 -17273.1175	   6469.5574	  -3508.1934	  -3805.9015	  -2078.0904	  -3119.4463	  -5236.0664	  -5476.0231	   1367.0012	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	
BPMSW.1R1.B2_DOROS	    -28.4625	     13.4710	    -12.0665	    -12.1989	    -12.0665	     12.1989	    -28.4625	    -13.4710	      2.4230	     32.5268	     23.1552	    -25.7356	     31.3244	     14.7838	  -1910.8542	     86.1823	  -1910.8542	    -86.1823	    524.5315	  -1129.8642	  -6376.9429	  -3687.0221	   6288.6831	  -2730.5894	  13802.0157	  17273.1272	   6288.6831	   2730.5894	   5428.3902	   1518.6026	  13802.0157	 -17273.1272	  -6376.9429	   3687.0221	  -3919.3243	  -1862.9959	  -3407.7008	  -5054.3638	   5428.3902	  -1518.6026	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMWF.A1R1.B2	    -28.4614	     13.4734	    -12.0654	    -12.1999	    -12.0654	     12.1999	    -28.4614	    -13.4734	      2.4147	     32.5274	     23.1574	    -25.7336	     31.3206	     14.7918	  -1910.8856	     86.5068	  -1910.8856	    -86.5068	    524.9053	  -1129.6846	  -6377.6177	  -3685.9358	   6288.1712	  -2731.6630	  13801.9926	  17273.1272	   6288.1712	   2731.6630	   5428.6029	   1517.6756	  13801.9926	 -17273.1272	  -6377.6177	   3685.9358	  -3918.7117	  -1864.3312	  -3405.9884	  -5055.5251	   5428.6029	  -1517.6756	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMS.2R1.B2	    -28.4092	     13.5831	    -11.9907	    -12.2734	    -11.9907	     12.2734	    -28.4092	    -13.5831	      1.9649	     32.5576	     23.2565	    -25.6441	     31.1473	     15.1532	  -1910.6565	    105.5281	  -1910.6565	   -105.5281	    547.1316	  -1118.9922	  -6407.9036	  -3636.6569	   6258.5997	  -2794.1651	  13762.0608	  17304.1242	   6258.5997	   2794.1651	   5381.7661	   1475.3420	  13762.0608	 -17304.1242	  -6407.9036	   3636.6569	  -3886.1620	  -1933.3105	  -3342.1846	  -5107.2619	   5381.7661	  -1475.3420	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMSY.4R1.B2	    -28.3366	     13.7338	    -11.8621	    -12.3977	    -11.8621	     12.3977	    -28.3366	    -13.7338	      1.2793	     32.5918	     23.3924	    -25.5202	     30.9019	     15.6477	  -1954.2908	    135.3665	  -1954.2908	   -135.3665	    570.6844	  -1101.1198	  -6480.7790	  -3567.8568	   6179.2631	  -2892.4112	  13656.1756	  17374.5295	   6179.2631	   2892.4112	   5343.9473	   1418.5766	  13656.1756	 -17374.5295	  -6480.7790	   3567.8568	  -3851.1588	  -2035.2547	  -3246.2078	  -5177.3705	   5343.9473	  -1418.5766	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMWB.4R1.B2	    -27.8883	     14.6254	    -11.3192	    -12.8961	    -11.3192	     12.8961	    -27.8883	    -14.6254	     -2.1904	     32.5433	     24.1899	    -24.7655	     29.2753	     18.5129	  -1939.0588	    280.8568	  -1939.0588	   -280.8568	    728.1197	  -1003.9286	  -6694.1213	  -3149.9656	   5946.1464	  -3345.5295	  13459.6357	  17527.1807	   5946.1464	   3345.5295	   5423.1262	   1076.9262	  13459.6357	 -17527.1807	  -6694.1213	   3149.9656	  -3534.4214	  -2546.0858	  -2565.0085	  -5546.5080	   5423.1262	  -1076.9262	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMYA.4R1.B2	    -27.7558	     14.8721	    -10.4441	    -13.6136	    -10.4441	     13.6136	    -27.7558	    -14.8721	     -4.9012	     32.2466	     24.4085	    -24.5501	     28.7729	     19.2847	  -1912.6531	    424.9925	  -1912.6531	   -424.9925	    869.6330	   -884.2054	  -6748.6785	  -3030.6560	   5679.5372	  -3780.4467	  12438.0064	  18266.4068	   5679.5372	   3780.4467	   5441.3547	    980.6519	  12438.0064	 -18266.4068	  -6748.6785	   3030.6560	  -3283.8384	  -2861.8034	  -2366.8056	  -5633.9397	   5441.3547	   -980.6519	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPMR.5R1.B2	    -27.4461	     15.4361	     -6.5703	    -15.8505	     -6.5703	     15.8505	    -27.4461	    -15.4361	    -14.2798	     29.3249	     24.9050	    -24.0463	     27.5373	     21.0112	  -1718.9611	    940.2559	  -1718.9611	   -940.2559	   1207.5495	   -282.6719	  -6866.9033	  -2752.3910	   4403.7762	  -5211.0645	   7718.5477	  20707.2219	   4403.7762	   5211.0645	   5476.7488	    757.5302	   7718.5477	 -20707.2219	  -6866.9033	   2752.3910	  -2206.6043	  -3755.6041	  -1898.9489	  -5808.3768	   5476.7488	   -757.5302	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	
BPM.6R1.B2	    -26.4922	     17.0213	    -15.8985	      6.4534	    -15.8985	     -6.4534	    -26.4922	    -17.0213	     27.3177	     17.8215	     26.2742	    -22.5421	     23.4258	     25.5149	  -1051.8112	  -1653.0992	  -1051.8112	   1653.0992	  -1234.2765	    120.9644	  -7142.2860	  -1928.2295	   5490.6731	   4049.7708	  20283.3705	  -8772.0909	   5490.6731	  -4049.7708	   5527.7773	    110.1419	  20283.3705	   8772.0909	  -7142.2860	   1928.2295	  -4095.4328	   1483.6416	   -494.0283	  -6090.9126	   5527.7773	   -110.1419	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	
BPMRA.7R1.B2	    -22.6563	     21.8690	    -16.9553	     -2.6316	    -16.9553	      2.6316	    -22.6563	    -21.8690	      1.9531	     32.5584	     30.1719	    -16.9746	      5.2734	     34.2340	  -1889.4678	   -518.7269	  -1889.4678	    518.7269	   -241.6337	  -1216.4198	  -7335.9927	    955.9497	   6788.0313	   -685.8961	  22051.9412	  -1440.9189	   6788.0313	    685.8961	   5147.9944	  -2016.5323	  22051.9412	   1440.9189	  -7335.9927	   -955.9497	  -3090.8283	  -3069.3064	   3962.8611	  -4651.7790	   5147.9944	   2016.5323	      0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	     -0.0000	      0.0000	     -0.0000	      0.0000	      0.0000	     -0.0000	      0.0000	
