NAME	RE_011100	IM_011100	RE_012000	IM_012000	RE_100200	IM_100200	RE_101100	IM_101100	RE_102000	IM_102000	RE_210000	IM_210000	RE_300000	IM_300000	RE_001300	IM_001300	RE_003100	IM_003100	RE_004000	IM_004000	RE_021100	IM_021100	RE_110200	IM_110200	RE_022000	IM_022000	RE_112000	IM_112000	RE_130000	IM_130000	RE_200200	IM_200200	RE_201100	IM_201100	RE_202000	IM_202000	RE_400000	IM_400000	RE_310000	IM_310000	RE_001200	IM_001200	RE_002100	IM_002100	RE_003000	IM_003000	RE_021000	IM_021000	RE_110100	IM_110100	RE_111000	IM_111000	RE_200100	IM_200100	RE_201000	IM_201000	RE_011200	IM_011200	RE_012100	IM_012100	RE_031000	IM_031000	RE_013000	IM_013000	RE_100300	IM_100300	RE_101200	IM_101200	RE_102100	IM_102100	RE_103000	IM_103000	RE_120100	IM_120100	RE_121000	IM_121000	RE_210100	IM_210100	RE_211000	IM_211000	
IP1	    -13.8518	    -28.2814	    -12.3681	     11.8882	    -12.3681	    -11.8882	    -13.8518	     28.2814	    -32.6411	      1.0940	    -25.3728	    -23.4851	    -16.0687	     30.6294	   1901.1913	   -138.0255	   1901.1913	    138.0255	    587.4357	  -1099.2144	   6471.5807	   3507.2924	  -6216.4045	   2906.6442	  13790.2473	  17249.5537	  -6216.4045	  -2906.6442	  -5465.6385	  -1363.7602	  13790.2473	 -17249.5537	   6471.5807	  -3507.2924	  -3806.0013	  -2080.0530	  -3112.2380	  -5224.0545	  -5465.6385	   1363.7602	     -0.0229	     -0.0111	     -0.0229	      0.0111	     -0.0966	     -0.0105	     -0.0052	     -0.0008	     -0.0077	      0.0008	     -0.0077	     -0.0008	     -0.0052	      0.0008	     -0.0366	      0.0009	      8.3309	      9.0893	     45.4920	    -38.3105	      1.3579	      1.1242	      7.9339	     -2.1057	      7.9339	      2.1057	     45.4920	     38.3105	      8.3309	     -9.0893	    -11.7701	     -9.6108	     -3.0076	      3.2596	     45.4345	     14.5222	     45.4345	    -14.5222	     -3.0076	     -3.2596	
BPMSW.1R1.B2_DOROS	    -28.4711	     13.4576	    -12.0598	    -12.2009	    -12.0598	     12.2009	    -28.4711	    -13.4576	      2.4553	     32.5670	     23.1304	    -25.6965	     31.2723	     14.7787	  -1911.7846	     84.8121	  -1911.7846	    -84.8121	    523.4478	  -1130.1145	  -6379.1397	  -3685.9203	   6287.4628	  -2732.5867	  13787.7622	  17248.5470	   6287.4628	   2732.5867	   5418.1610	   1514.8547	  13787.7622	 -17248.5470	  -6379.1397	   3685.9203	  -3919.5206	  -1864.9776	  -3399.4283	  -5043.0459	   5418.1610	  -1514.8547	     -0.0148	      0.0227	     -0.0148	     -0.0227	     -0.0076	      0.0970	     -0.0019	      0.0052	     -0.0015	      0.0076	     -0.0015	     -0.0076	     -0.0019	     -0.0052	      0.0013	      0.0366	     -8.5046	     -9.5457	     45.4458	    -38.3546	     -1.4423	     -1.3112	     -7.8424	      2.3691	     -7.8424	     -2.3691	     45.4458	     38.3546	     -8.5046	      9.5457	    -12.6415	     -8.7911	      3.0327	     -3.4004	     45.4946	     14.4127	     45.4946	    -14.4127	      3.0327	      3.4004	
BPMWF.A1R1.B2	    -28.4699	     13.4600	    -12.0587	    -12.2020	    -12.0587	     12.2020	    -28.4699	    -13.4600	      2.4470	     32.5677	     23.1326	    -25.6946	     31.2685	     14.7867	  -1911.8163	     85.1368	  -1911.8163	    -85.1368	    523.8216	  -1129.9353	  -6379.8144	  -3684.8337	   6286.9506	  -2733.6601	  13787.7392	  17248.5469	   6286.9506	   2733.6601	   5418.3731	   1513.9295	  13787.7392	 -17248.5469	  -6379.8144	   3684.8337	  -3918.9074	  -1866.3130	  -3397.7197	  -5044.2044	   5418.3731	  -1513.9295	     -0.0148	      0.0227	     -0.0148	     -0.0227	     -0.0076	      0.0970	     -0.0019	      0.0052	     -0.0015	      0.0076	     -0.0015	     -0.0076	     -0.0019	     -0.0052	      0.0013	      0.0366	     -8.5088	     -9.5457	     45.4455	    -38.3549	     -1.4432	     -1.3119	     -7.8426	      2.3680	     -7.8426	     -2.3680	     45.4455	     38.3549	     -8.5088	      9.5457	    -12.6407	     -8.7945	      3.0317	     -3.4023	     45.4950	     14.4121	     45.4950	    -14.4121	      3.0317	      3.4023	
BPMS.2R1.B2	    -28.4178	     13.5697	    -11.9840	    -12.2754	    -11.9840	     12.2754	    -28.4178	    -13.5697	      1.9966	     32.5984	     23.2315	    -25.6052	     31.0953	     15.1475	  -1911.6011	    104.1671	  -1911.6011	   -104.1671	    546.0527	  -1119.2647	  -6410.0920	  -3635.5375	   6257.3595	  -2796.1489	  13747.8665	  17279.5088	   6257.3595	   2796.1489	   5371.5086	   1471.6745	  13747.8665	 -17279.5088	  -6410.0920	   3635.5375	  -3886.3230	  -1935.2951	  -3334.0907	  -5095.8154	   5371.5086	  -1471.6745	     -0.0150	      0.0228	     -0.0150	     -0.0228	     -0.0092	      0.0969	     -0.0022	      0.0052	     -0.0021	      0.0077	     -0.0021	     -0.0077	     -0.0022	     -0.0052	      0.0005	      0.0366	     -8.6418	     -9.4979	     45.4773	    -38.3018	     -1.4840	     -1.3449	     -7.8837	      2.2903	     -7.8837	     -2.2903	     45.4773	     38.3018	     -8.6418	      9.4979	    -12.5260	     -9.0112	      2.9827	     -3.4928	     45.4966	     14.4328	     45.4966	    -14.4328	      2.9827	      3.4928	
BPMSY.4R1.B2	    -28.3453	     13.7205	    -11.8554	    -12.3996	    -11.8554	     12.3996	    -28.3453	    -13.7205	      1.3102	     32.6332	     23.3672	    -25.4814	     30.8500	     15.6411	  -1955.2683	    134.0209	  -1955.2683	   -134.0209	    569.6078	  -1101.4267	  -6482.9577	  -3566.7138	   6177.9889	  -2894.3736	  13642.1106	  17349.8374	   6177.9889	   2894.3736	   5333.6520	   1415.0178	  13642.1106	 -17349.8374	  -6482.9577	   3566.7138	  -3851.2709	  -2037.2422	  -3238.3581	  -5165.7551	   5333.6520	  -1415.0178	     -0.0339	      0.0228	     -0.0339	     -0.0228	     -0.0178	      0.0967	     -0.0070	      0.0053	     -0.0117	      0.0077	     -0.0117	     -0.0077	     -0.0070	     -0.0053	     -0.0050	      0.0365	    -11.2107	    -10.5906	     45.3668	    -38.4591	     -2.0052	     -1.9768	     -7.6234	      2.3637	     -7.6234	     -2.3637	     45.3668	     38.4591	    -11.2107	     10.5906	    -14.1957	     -8.6499	      2.6664	     -4.5366	     45.7576	     14.0655	     45.7576	    -14.0655	      2.6664	      4.5366	
BPMWB.4R1.B2	    -27.8973	     14.6124	    -11.3124	    -12.8977	    -11.3124	     12.8977	    -27.8973	    -14.6124	     -2.1641	     32.5877	     24.1634	    -24.7275	     29.2242	     18.5015	  -1940.1345	    279.5858	  -1940.1345	   -279.5858	    727.0985	  -1004.3940	  -6696.2245	  -3148.6838	   5944.7327	  -3347.3851	  13445.8763	  17502.3115	   5944.7327	   3347.3851	   5412.6265	   1074.0249	  13445.8763	 -17502.3115	  -6696.2245	   3148.6838	  -3534.2605	  -2548.0675	  -2558.6868	  -5533.9950	   5412.6265	  -1074.0249	     -0.0331	      0.0241	     -0.0331	     -0.0241	     -0.0286	      0.0941	     -0.0069	      0.0055	     -0.0114	      0.0081	     -0.0114	     -0.0081	     -0.0069	     -0.0055	     -0.0087	      0.0358	    -11.9349	     -9.7999	     45.5817	    -38.2072	     -2.1162	     -1.8578	     -7.7834	      1.7457	     -7.7834	     -1.7457	     45.5817	     38.2072	    -11.9349	      9.7999	    -12.8237	    -10.5919	      2.3469	     -4.7102	     45.6779	     14.3227	     45.6779	    -14.3227	      2.3469	      4.7102	
BPMYA.4R1.B2	    -27.7650	     14.8591	    -10.4372	    -13.6148	    -10.4372	     13.6148	    -27.7650	    -14.8591	     -4.8786	     32.2931	     24.3817	    -24.5124	     28.7221	     19.2719	  -1913.8210	    423.8037	  -1913.8210	   -423.8037	    868.6910	   -884.8193	  -6750.7590	  -3029.3364	   5677.9926	  -3782.1862	  12425.7065	  18240.7804	   5677.9926	   3782.1862	   5430.8053	    977.9366	  12425.7065	 -18240.7804	  -6750.7590	   3029.3364	  -3283.4973	  -2863.7592	  -2360.9302	  -5621.2110	   5430.8053	   -977.9366	     -0.0322	      0.0253	     -0.0322	     -0.0253	     -0.0389	      0.0903	     -0.0070	      0.0053	     -0.0111	      0.0085	     -0.0111	     -0.0085	     -0.0070	     -0.0053	     -0.0106	      0.0353	    -12.3781	     -9.2388	     46.6536	    -36.8919	     -2.0960	     -1.8806	     -7.9206	      0.9341	     -7.9206	     -0.9341	     46.6536	     36.8919	    -12.3781	      9.2388	    -11.4525	    -12.0626	      2.1266	     -4.8139	     45.2508	     15.6200	     45.2508	    -15.6200	      2.1266	      4.8139	
BPMR.5R1.B2	    -27.4556	     15.4233	     -6.5634	    -15.8499	     -6.5634	     15.8499	    -27.4556	    -15.4233	    -14.2720	     29.3761	     24.8775	    -24.0091	     27.4875	     20.9953	  -1720.4153	    939.4358	  -1720.4153	   -939.4358	   1207.0803	   -283.6985	  -6868.9288	  -2750.9859	   4401.8180	  -5212.2977	   7712.7619	  20679.3847	   4401.8180	   5212.2977	   5466.0974	    755.2469	   7712.7619	 -20679.3847	  -6868.9288	   2750.9859	  -2205.6663	  -3757.3473	  -1894.1296	  -5795.2117	   5466.0974	   -755.2469	     -0.0284	      0.0296	     -0.0284	     -0.0296	     -0.0725	      0.0664	     -0.0075	      0.0046	     -0.0098	      0.0100	     -0.0098	     -0.0100	     -0.0075	     -0.0046	     -0.0168	      0.0328	    -13.7021	     -7.1300	     50.7501	    -31.0159	     -1.9400	     -2.0417	     -7.6539	     -2.2423	     -7.6539	      2.2423	     50.7501	     31.0159	    -13.7021	      7.1300	     -5.1726	    -15.8088	      1.3252	     -5.0934	     43.0451	     20.9463	     43.0451	    -20.9463	      1.3252	      5.0934	
BPM.6R1.B2	    -26.5024	     17.0091	    -15.8980	      6.4459	    -15.8980	     -6.4459	    -26.5024	    -17.0091	     27.3688	     17.8211	     26.2446	    -22.5066	     23.3794	     25.4905	  -1051.1436	  -1654.5698	  -1051.1436	   1654.5698	  -1233.9548	    121.9625	  -7144.1337	  -1926.5929	   5491.9079	   4047.5541	  20256.1522	  -8764.2244	   5491.9079	  -4047.5541	   5516.9318	    109.1204	  20256.1522	   8764.2244	  -7144.1337	   1926.5929	  -4097.0251	   1482.2638	   -492.4013	  -6076.9877	   5516.9318	   -109.1204	      0.0409	     -0.0022	      0.0409	      0.0022	     -0.0973	     -0.0141	      0.0013	     -0.0087	      0.0140	     -0.0006	      0.0140	      0.0006	      0.0013	      0.0087	     -0.0059	     -0.0364	      5.9786	     14.2422	    -12.4650	     58.1565	      2.7969	     -0.3306	     -3.5402	     -7.1468	     -3.5402	      7.1468	    -12.4650	    -58.1565	      5.9786	    -14.2422	      9.7617	    -13.4679	     -4.2751	      3.0695	    -44.8326	     16.7829	    -44.8326	    -16.7829	     -4.2751	     -3.0695	
BPMRA.7R1.B2	    -22.6686	     21.8591	    -16.9511	     -2.6373	    -16.9511	      2.6373	    -22.6686	    -21.8591	      1.9846	     32.5992	     30.1359	    -16.9456	      5.2485	     34.1880	  -1889.9488	   -520.3072	  -1889.9488	    520.3072	   -242.6498	  -1215.9907	  -7337.0723	    958.1686	   6787.4733	   -688.2158	  22023.6304	  -1443.1538	   6787.4733	    688.2158	   5137.5855	  -2013.3192	  22023.6304	   1443.1538	  -7337.0723	   -958.1686	  -3090.3317	  -3071.2651	   3954.1517	  -4640.7928	   5137.5855	   2013.3192	      0.0374	     -0.0168	      0.0374	      0.0168	     -0.0312	     -0.0932	      0.0011	     -0.0088	      0.0128	     -0.0056	      0.0128	      0.0056	      0.0011	      0.0088	      0.0208	     -0.0304	     12.6725	      8.8313	    -22.2048	     55.1771	      2.6557	     -0.9378	      3.4527	     -7.1895	      3.4527	      7.1895	    -22.2048	    -55.1771	     12.6725	     -8.8313	     15.5831	      5.8174	     -1.9686	      4.8809	    -47.0387	      8.8876	    -47.0387	     -8.8876	     -1.9686	     -4.8809	
