NAME,b3,a3,b4,a4
MQXA.1R1,0.04,0.21,1.3,-0.02
MQXB.A2R1,0.09,0.08,0.12,-0.08
MQXB.B2R1,0.09,0.08,0.12,-0.02
MQXA.3R1,0.04,0.21,1.3,-0.02
MQXA.3L2,0.04,0.21,1.3,-0.02
MQXB.B2L2,0.09,0.08,0.12,-0.08
MQXB.A2L2,0.09,0.08,0.12,-0.08
MQXA.1L2,0.04,0.21,1.3,-0.02
MQXA.1R2,0.04,0.21,1.3,-0.02
MQXB.A2R2,0.09,0.08,0.12,-0.08
MQXB.B2R2,0.09,0.08,0.12,-0.08
MQXA.3R2,0.04,0.21,1.3,-0.02
MQXA.3L5,0.04,0.21,1.3,-0.02
MQXB.B2L5,0.09,0.08,0.12,-0.08
MQXB.A2L5,0.09,0.08,0.12,-0.08
MQXA.1L5,0.04,0.21,1.3,-0.02
MQXA.1R5,0.04,0.21,1.3,-0.02
MQXB.A2R5,0.09,0.08,0.12,-0.08
MQXB.B2R5,0.09,0.08,0.12,-0.08
MQXA.3R5,0.04,0.21,1.3,-0.02
MQXA.3L8,0.04,0.21,1.3,-0.02
MQXB.B2L8,0.09,0.08,0.12,-0.08
MQXB.A2L8,0.09,0.08,0.12,-0.08
MQXA.1L8,0.04,0.21,1.3,-0.02
MQXA.1R8,0.04,0.21,1.3,-0.02
MQXB.A2R8,0.09,0.08,0.12,-0.08
MQXB.B2R8,0.09,0.08,0.12,-0.08
MQXA.3R8,0.04,0.21,1.3,-0.02
MQXA.3L1,0.04,0.21,1.3,-0.02
MQXB.B2L1,0.09,0.08,0.12,-0.08
MQXB.A2L1,0.09,0.08,0.12,-0.08
MQXA.1L1,0.04,0.21,1.3,-0.02
