NAME,b1,a1,b2,a2,b3,a3,b4,a4,b5,a5,b6,a6,b7,a7,b8,a8,b9,a9,b10,a10,b11,a11,b12,a12,b13,a13,b14,a14,b15,a15,beam
MQXA.1R1,0.0,0.0,0.02969439509402405,0.0,0.04291971108942837,0.030820700835639665,0.007939892946381592,0.05403477028728816,0.015674370800769003,0.009686980953836959,0.07319238758231625,4.163336342344337e-17,1.0408340855860843e-17,8.673617379884035e-18,1.8041124150158794e-16,2.168404344971009e-18,2.6020852139652106e-18,4.336808689942018e-18,1.8041124150158794e-16,3.469446951953614e-18,1.3010426069826053e-18,1.3010426069826053e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2R1,0.0,0.0,0.04203486648010196,0.0,0.011759298448461967,0.021340937186543615,3.0531133177191805e-16,0.016171193524288807,0.009613532129243653,0.004102243288738495,0.015734598819162823,0.03356113824053052,4.163336342344337e-17,6.938893903907228e-18,6.245004513516506e-17,4.163336342344337e-17,5.204170427930421e-17,6.938893903907228e-18,6.938893903907228e-18,4.5102810375396984e-17,5.204170427930421e-18,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2R1,0.0,0.0,0.04203486648010196,0.0,0.012149057576618863,0.01887936439608073,1.6653345369377348e-16,0.014983120502752408,0.009619038413479799,0.003275728926513918,0.016335296140566287,0.0387628223946606,6.938893903907228e-18,6.505213034913027e-19,4.163336342344337e-17,1.3877787807814457e-17,1.0408340855860843e-17,8.673617379884035e-18,6.938893903907228e-18,1.3877787807814457e-17,3.469446951953614e-18,2.6020852139652106e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3R1,0.0,0.0,0.02847878333075344,0.0,0.04446425980492646,0.026365270717366062,0.00856697729657317,0.05516364291813948,0.016251818359802078,0.010409471648455555,0.07841513310579788,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,4.336808689942018e-18,3.469446951953614e-18,1.3010426069826053e-18,6.505213034913027e-19,2.7755575615628914e-17,0.0,6.505213034913027e-19,1.3010426069826053e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3L2,0.0,0.0,0.030508770870030146,0.0,0.045633974185906714,0.029036892051319818,0.007998868670005795,0.05746716975804535,0.016506410875777932,0.011342292537225447,0.07792148869214446,2.0816681711721685e-17,6.505213034913027e-19,1.3877787807814457e-17,2.6020852139652106e-18,1.0408340855860843e-17,2.168404344971009e-18,2.168404344971009e-18,1.3877787807814457e-17,0.0,0.0,4.336808689942018e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2L2,0.0,0.0,0.04482268510475471,0.0,0.013242824472143372,0.018376863170846115,4.85722573273506e-17,0.016801380895628795,0.009772466423580076,0.0037399866309921455,0.01720544971803992,0.03481033754504544,4.85722573273506e-17,1.3877787807814457e-17,4.163336342344337e-17,5.551115123125783e-17,8.673617379884035e-18,2.168404344971009e-18,3.469446951953614e-18,1.3877787807814457e-17,4.336808689942018e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2L2,0.0,0.0,0.04482268510475471,0.0,0.013133449661075347,0.0203909293559661,1.6653345369377348e-16,0.01626586610051861,0.010499880951706071,0.0035924364990908295,0.015870762426550267,0.03771741772709261,3.469446951953614e-18,1.3877787807814457e-17,5.204170427930421e-17,9.71445146547012e-17,5.204170427930421e-18,5.204170427930421e-18,3.122502256758253e-17,1.3877787807814457e-17,1.3877787807814457e-17,2.6020852139652106e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1L2,0.0,0.0,0.0259959612247749,0.0,0.048847718472821225,0.028564495444519937,0.007434910893884336,0.056414234905739886,0.015328206026799093,0.00982801607650293,0.07547299119552639,5.551115123125783e-17,5.204170427930421e-18,6.505213034913027e-19,4.163336342344337e-17,6.938893903907228e-18,1.0408340855860843e-17,3.469446951953614e-18,2.636779683484747e-16,4.336808689942018e-18,1.0408340855860843e-17,2.168404344971009e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1R2,0.0,0.0,0.031004314215928072,0.0,0.0450837210088076,0.030271562562907146,0.007299993150681725,0.04985343619049744,0.01666266485289793,0.010606432010813061,0.06863151171291508,1.3877787807814457e-17,6.505213034913027e-19,2.168404344971009e-18,4.163336342344337e-17,2.168404344971009e-18,3.469446951953614e-18,2.168404344971009e-18,8.326672684688674e-17,2.6020852139652106e-18,5.204170427930421e-18,2.168404344971009e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2R2,0.0,0.0,0.045520082381296276,0.0,0.013326304814163616,0.01815956772613269,4.336808689942018e-18,0.015722655628105577,0.009671070261351637,0.0037451168206078713,0.015345784437427757,0.03380889084249882,1.3877787807814457e-17,5.551115123125783e-17,6.245004513516506e-17,1.3877787807814457e-17,2.168404344971009e-18,6.505213034913027e-19,1.3010426069826053e-18,1.3877787807814457e-17,6.938893903907228e-18,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
